Sat.A1ModJulian           Sat.UTCModJulian          Sat.X                     Sat.Y                     Sat.Z                     Sat.VX                    Sat.VY                    Sat.VZ                    
30311.1164008609          30311.11597222222         -2532.78025849518         940.7926834706965         -6537.40870513856         7.005365954080844         0.397101153975902         -2.650364962104729        
30311.11709530534         30311.11666666666         -2107.631154491473        962.7046798145739         -6683.099365168195        7.161501486425075         0.3330541210059647        -2.20436040506014         
30311.11778974979         30311.11736111111         -1673.978244402724        980.7324036881349         -6801.754365821987        7.288732583008537         0.2676685404625794        -1.749477556452683        
30311.11848419423         30311.11805555555         -1233.571498607699        994.8033546372671         -6892.895545382735        7.38655481627289          0.2012055998031114        -1.287539271043711        
30311.11917863868         30311.11875               -788.1877066862064        1004.86083451336          -6956.154946819903        7.454578927543            0.1339307114276951        -0.8203950683191861       
30311.11987308312         30311.11944444444         -339.6235213757852        1010.864173380838         -6991.276212414097        7.492532245386307         0.06611256491714466       -0.3499142323922484       
30311.12056752756         30311.12013888889         110.3115601094284         1012.788894139394         -6998.115560030078        7.500259344958563         -0.001977953408962341     0.1220211274377665        
30311.12126197201         30311.12083333333         559.8022378691373         1010.62681128857          -6976.642355574662        7.477722264138306         -0.07006885298795371      0.5935225580038269        
30311.12195641645         30311.12152777778         1007.034467114039         1004.386066485116         -6926.939307727874        7.425000900437377         -0.1378880449134477       1.06270146885799          
30311.1226508609          30311.12222222222         1450.202548986136         994.0911064405185         -6849.202280604559        7.34229365218719          -0.2051642680375967       1.52767577830566          
30311.12334530534         30311.12291666667         1887.516251512386         979.7826055617919         -6743.739683700584        7.229917645849195         -0.2716280212957915       1.986577344060074         
30311.12403974979         30311.12361111111         2317.207915059209         961.5173303214233         -6610.971402796655        7.088307943836378         -0.3370125823418186       2.437559706007558         
30311.12473419423         30311.12430555556         2737.539480778453         939.367939514065          -6451.427275635593        6.918015848794481         -0.4010551192997286       2.878805429276677         
30311.12542863868         30311.125                 3146.809404451082         913.4227169074719         -6265.745144937165        6.719706868796631         -0.4634978125688996       3.308532881873883         
30311.12612308312         30311.12569444444         3543.359446675216         883.7852394874836         -6054.668513004806        6.494158633850209         -0.5240888603632651       3.725002808614506         
30311.12681752757         30311.12638888889         3925.581333383847         850.5739907294437         -5819.043800376315        6.242258617859581         -0.5825833076595095       4.126524966654652         
30311.12751197201         30311.12708333333         4291.923269795777         813.9219272674865         -5559.817205985746        5.965001530990876         -0.638743802272644        4.511464748810314         
30311.12820641646         30311.12777777778         4640.896289944329         773.9759968685413         -5278.031171755076        5.663486462618081         -0.692341498297209        4.87824976787216          
30311.1289008609          30311.12847222222         4971.080426518281         730.8965941452052         -4974.820447377931        5.338913701147603         -0.7431572268376853       5.225376647290449         
30311.12959530534         30311.12916666667         5281.130669396836         684.8569413146165         -4651.407737817718        4.992580781724521         -0.7909827741431217       5.551418110759345         
30311.13028974979         30311.12986111111         5569.782654108845         636.042397447804          -4309.098927090243        4.62587743095576          -0.8356219347728634       5.855029898611658         
30311.13098419423         30311.13055555556         5835.858021285454         584.6497162518831         -3949.277909171156        4.240279774917525         -0.8768911776940792       6.134956874814047         
30311.13167863867         30311.13125               6078.269425985562         530.8862710609837         -3573.401079023693        3.837344567436341         -0.9146201334451145       6.390038322774537         
30311.13237308312         30311.13194444445         6296.025208746375         474.9692465790709         -3182.991513819363        3.418703635824517         -0.948652265094611        6.619213103397028         
30311.13306752756         30311.13263888889         6488.233724306291         417.1247812057416         -2779.632835513329        2.986057873435206         -0.9788458256503869       6.821525122888158         
30311.13376197201         30311.13333333334         6654.107277289731         357.5870497147785         -2364.962745111412        2.541170092454799         -1.005074823760149        6.996128671390378         
30311.13445641645         30311.13402777778         6792.96559783668          296.5972965148692         -1940.666261818589        2.085856955449116         -1.027229671970683        7.142292812327447         
30311.1351508609          30311.13472222222         6904.238827416699         234.4028402595422         -1508.468734643181        1.621980859428839         -1.045217529935438        7.259404625555713         
30311.13584530534         30311.13541666667         6987.470029855759         171.2560593265894         -1070.12867998725         1.151442219465622         -1.058962656264601        7.346971888987968         
30311.13653974979         30311.13611111111         7042.317241606087         107.4133498447678         -627.4304605424763        0.6761717014917882        -1.068406976625499        7.404625717944532         
30311.13723419423         30311.13680555555         7068.555037052721         43.1340464528083          -182.1768107311718        0.1981217556330723        -1.07351070335402         7.432122948221335         
